,,W0.5,W1.0,W2.0,W3.3,W5.0,W10.0,W20.0,W25.0,W33.3,W50.0,W100.0
5,min,3.59,5.42,7.25,8.60,9.70,11.53,13.35,13.95,14.72,15.80,17.63
10,min,5.01,7.15,9.29,10.88,12.12,14.26,16.41,17.09,18.00,19.26,21.38
15,min,6.10,8.42,10.73,12.46,13.80,16.12,18.43,19.19,20.16,21.51,23.82
20,min,7.00,9.44,11.89,13.70,15.12,17.58,20.02,20.80,21.82,23.25,25.70
30,min,8.50,11.13,13.75,15.68,17.22,19.84,22.46,23.30,24.40,25.93,28.56
45,min,10.30,13.10,15.90,17.96,19.60,22.40,25.20,26.10,27.26,28.90,31.70
60,min,11.79,14.71,17.64,19.78,21.50,24.43,27.36,28.30,29.50,31.22,34.16
90,min,13.70,17.12,20.55,23.08,25.08,28.50,31.93,33.02,34.44,36.44,39.87
2,h,15.30,19.07,22.86,25.63,27.84,31.62,35.41,36.62,38.19,40.39,44.16
3,h,17.95,22.22,26.50,29.66,32.16,36.43,40.71,42.08,43.84,46.36,50.63
4,h,20.14,24.76,29.40,32.80,35.52,40.15,44.78,46.26,48.19,50.90,55.51
6,h,23.73,28.86,33.99,37.77,40.77,45.90,51.02,52.67,54.80,57.80,62.92
9,h,28.02,33.64,39.28,43.41,46.69,52.32,57.95,59.75,62.10,65.39,71.02
12,h,31.53,37.52,43.48,47.89,51.39,57.37,63.35,65.27,67.76,71.25,77.22
18,h,35.63,43.10,50.57,56.08,60.45,67.91,75.39,77.79,80.89,85.25,92.72
24,h,39.05,47.57,56.10,62.38,67.37,75.89,84.41,87.16,90.70,95.69,104.21
